Time,CensusTract,NumberOfReports
11/2018,868.0,1
11/2018,337.0,2
11/2018,120.0,1
11/2018,163.0,7
11/2018,267.02,1
11/2018,974.0,1
11/2018,788.01,1
11/2018,190.0,3
11/2018,220.02,2
11/2018,277.0,5
11/2018,320.0,1
11/2018,608.0,1
11/2018,47.0,6
11/2018,325.0,1
11/2018,836.0,1
11/2018,485.0,1
11/2018,950.0,1
11/2018,168.0,1
11/2018,577.0,2
11/2018,406.0,2
11/2018,170.0,7
11/2018,29.01,4
11/2018,594.02,1
11/2018,161.0,4
11/2018,425.0,3
11/2018,480.0,1
11/2018,153.02,1
11/2018,356.0,2
11/2018,271.01,3
11/2018,132.02,1
11/2018,467.0,1
11/2018,185.02,1
11/2018,613.01,1
11/2018,20.02,1
11/2018,339.0,2
11/2018,626.0,2
11/2018,543.0,1
11/2018,745.0,2
11/2018,453.0,1
11/2018,77.0,5
11/2018,521.0,1
11/2018,522.0,3
11/2018,86.01,1
11/2018,627.0,2
11/2018,399.0,2
11/2018,215.02,3
11/2018,10.01,6
11/2018,129.02,1
11/2018,216.0,3
11/2018,115.0,1
11/2018,641.02,1
11/2018,359.0,1
11/2018,660.0,2
11/2018,53.0,1
11/2018,117.0,3
11/2018,1451.02,1
11/2018,421.0,2
11/2018,338.0,2
11/2018,1409.02,1
11/2018,156.01,1
11/2018,133.02,1
11/2018,533.0,1
11/2018,449.02,1
11/2018,790.02,1
11/2018,732.0,1
11/2018,450.0,1
11/2018,398.0,2
11/2018,526.0,1
11/2018,206.0,2
11/2018,693.0,1
11/2018,210.01,2
11/2018,153.0,3
11/2018,303.02,1
11/2018,902.0,2
11/2018,179.01,1
11/2018,916.03,4
11/2018,229.01,1
11/2018,146.06,2
11/2018,520.0,1
11/2018,882.0,3
11/2018,871.0,1
11/2018,527.0,1
11/2018,2.0,3
11/2018,535.02,1
11/2018,803.02,1
11/2018,1028.01,1
11/2018,583.0,1
11/2018,59.0,3
11/2018,441.0,3
11/2018,591.0,2
11/2018,1579.01,1
11/2018,291.0,5
11/2018,215.01,1
11/2018,343.0,4
11/2018,929.0,2
11/2018,259.0,4
11/2018,40.03,2
11/2018,207.0,2
11/2018,300.0,6
11/2018,205.0,1
11/2018,181.01,2
11/2018,1146.0,1
11/2018,1022.0,2
11/2018,593.0,1
11/2018,225.0,2
11/2018,848.0,1
11/2018,422.0,3
11/2018,201.0,2
11/2018,739.0,2
11/2018,1171.0,1
11/2018,552.0,1
11/2018,1227.02,1
11/2018,149.02,1
11/2018,50.0,7
11/2018,500.01,1
11/2018,525.0,1
11/2018,382.0,3
11/2018,223.01,1
11/2018,1247.0,1
11/2018,724.0,1
11/2018,504.0,1
11/2018,415.0,4
11/2018,1032.02,2
11/2018,494.0,1
11/2018,696.02,1
11/2018,254.0,1
11/2018,437.01,1
11/2018,106.0,1
11/2018,504.02,1
11/2018,288.02,3
11/2018,186.0,3
11/2018,41.0,3
11/2018,1142.02,1
11/2018,540.0,1
11/2018,447.0,2
11/2018,866.0,2
11/2018,585.0,1
11/2018,578.0,1
11/2018,297.0,5
11/2018,99.03,3
11/2018,22.02,3
11/2018,402.0,1
11/2018,274.02,2
11/2018,912.0,1
11/2018,972.05,1
11/2018,1097.0,1
11/2018,156.02,1
11/2018,171.0,3
11/2018,44.01,1
11/2018,858.0,3
11/2018,448.0,1
11/2018,438.0,1
11/2018,405.01,1
11/2018,132.03,1
11/2018,557.0,1
11/2018,68.0,2
11/2018,193.0,2
11/2018,566.0,3
11/2018,97.0,2
11/2018,1151.0,1
11/2018,407.02,1
11/2018,1.0,2
11/2018,383.03,1
11/2018,393.0,2
11/2018,779.07,1
11/2018,824.0,1
11/2018,511.0,1
11/2018,563.01,1
11/2018,399.01,3
11/2018,182.0,2
11/2018,396.0,2
11/2018,601.0,1
11/2018,471.0,1
11/2018,315.0,1
11/2018,255.0,1
11/2018,1032.01,1
11/2018,1409.01,1
11/2018,523.0,2
11/2018,1.02,1
11/2018,208.0,2
11/2018,348.0,4
11/2018,596.0,1
11/2018,364.0,1
11/2018,1193.0,1
11/2018,1385.02,1
11/2018,36.0,1
11/2018,204.0,1
11/2018,492.01,2
11/2018,958.0,1
11/2018,222.0,3
11/2018,389.0,2
11/2018,462.01,1
11/2018,261.0,2
11/2018,403.04,2
11/2018,890.0,1
11/2018,433.0,2
11/2018,132.01,1
11/2018,919.0,1
11/2018,1347.02,2
11/2018,661.0,1
11/2018,938.0,1
11/2018,512.0,2
11/2018,1385.01,1
11/2018,216.01,1
11/2018,1341.0,2
11/2018,76.0,2
11/2018,1163.01,1
11/2018,136.03,1
11/2018,33.01,1
11/2018,170.09,1
11/2018,237.02,1
11/2018,44.0,1
11/2018,1621.0,1
11/2018,505.0,1
11/2018,720.0,1
11/2018,236.0,1
11/2018,349.01,2
11/2018,275.0,2
11/2018,734.0,2
11/2018,177.01,2
11/2018,126.02,1
11/2018,1039.0,1
11/2018,945.0,1
11/2018,1403.0,1
11/2018,299.0,3
11/2018,491.0,1
11/2018,1098.0,1
11/2018,1170.0,1
11/2018,113.0,1
11/2018,323.0,1
11/2018,76.01,1
11/2018,925.0,2
11/2018,1208.02,1
11/2018,492.0,1
11/2018,561.0,1
11/2018,451.01,1
11/2018,345.0,1
11/2018,992.0,1
11/2018,123.0,1
11/2018,116.0,1
11/2018,210.0,1
11/2018,271.0,1
11/2018,125.0,1
11/2018,121.01,1
11/2018,53.01,2
11/2018,132.04,1
11/2018,779.02,1
11/2018,94.0,1
11/2018,972.06,1
11/2018,1.04,1
11/2018,690.0,1
11/2018,155.02,1
11/2018,697.02,1
11/2018,806.0,2
11/2018,1399.0,1
11/2018,711.0,1
11/2018,267.01,1
11/2018,671.0,1
11/2018,178.0,1
11/2018,664.02,1
11/2018,365.01,1
11/2018,683.0,1
11/2018,667.01,1
11/2018,595.01,2
11/2018,655.01,1
11/2018,369.0,1
11/2018,702.01,1
11/2018,370.0,1
11/2018,894.0,2
11/2018,309.01,1
11/2018,201.02,1
11/2018,319.01,1
11/2018,107.01,1
11/2018,635.0,1
11/2018,922.0,1
11/2018,792.0,1
11/2018,1291.02,1
11/2018,508.04,1
11/2018,183.01,1
11/2018,114.01,1
11/2018,1188.0,1
11/2018,546.0,1
11/2018,224.01,1
11/2018,1571.01,1
11/2018,324.0,1
11/2018,518.0,1
10/2018,1385.02,1
10/2018,494.0,2
10/2018,1134.0,3
10/2018,500.0,1
10/2018,331.0,2
10/2018,98.0,16
10/2018,865.0,4
10/2018,251.0,9
10/2018,348.0,6
10/2018,460.0,3
10/2018,198.0,1
10/2018,181.0,3
10/2018,555.0,2
10/2018,997.03,1
10/2018,408.0,4
10/2018,221.02,6
10/2018,162.0,13
10/2018,300.0,2
10/2018,175.0,11
10/2018,552.0,4
10/2018,244.01,2
10/2018,74.0,8
10/2018,138.0,5
10/2018,143.0,17
10/2018,131.0,7
10/2018,830.0,3
10/2018,1104.0,12
10/2018,242.0,4
10/2018,190.0,4
10/2018,65.0,3
10/2018,285.0,6
10/2018,363.0,12
10/2018,372.0,2
10/2018,211.0,11
10/2018,24.0,6
10/2018,218.0,5
10/2018,273.0,11
10/2018,1158.0,1
10/2018,164.0,5
10/2018,170.15,1
10/2018,159.0,7
10/2018,132.0,1
10/2018,33.0,4
11/2018,7.02,1
11/2018,506.0,1
11/2018,19.01,1
11/2018,830.0,2
11/2018,140.0,1
11/2018,374.02,1
11/2018,366.0,1
11/2018,916.04,1
11/2018,860.0,1
11/2018,35.0,1
11/2018,59.02,1
11/2018,115.02,1
11/2018,499.0,1
11/2018,60.0,1
11/2018,477.0,1
11/2018,740.0,1
10/2018,745.0,3
10/2018,444.0,3
10/2018,779.04,2
10/2018,124.0,2
10/2018,47.0,5
10/2018,137.0,3
10/2018,226.02,3
10/2018,53.02,1
10/2018,96.01,1
10/2018,1133.0,2
10/2018,87.0,9
10/2018,69.0,6
10/2018,32.0,11
10/2018,129.01,10
10/2018,230.0,5
10/2018,144.0,6
10/2018,1208.02,4
10/2018,56.0,5
10/2018,245.0,11
10/2018,421.0,4
10/2018,89.0,6
10/2018,1171.0,1
10/2018,423.0,1
10/2018,188.0,4
10/2018,170.0,7
10/2018,122.0,5
10/2018,21.0,3
10/2018,287.0,8
10/2018,204.0,2
10/2018,157.0,11
10/2018,1341.0,2
10/2018,36.02,3
10/2018,210.01,2
10/2018,307.0,3
10/2018,68.0,9
10/2018,1010.04,2
10/2018,14.0,1
10/2018,1163.02,1
10/2018,103.0,1
10/2018,154.0,2
10/2018,25.0,12
10/2018,229.02,2
10/2018,189.0,15
10/2018,22.0,3
10/2018,156.01,2
10/2018,560.0,2
10/2018,343.0,1
10/2018,286.0,1
10/2018,113.0,2
10/2018,295.0,8
10/2018,2.02,7
10/2018,942.02,8
10/2018,177.0,5
10/2018,7.0,2
10/2018,213.02,2
10/2018,234.0,6
10/2018,758.0,1
10/2018,964.0,1
10/2018,193.0,6
10/2018,167.0,4
10/2018,737.0,1
10/2018,383.0,9
10/2018,381.0,7
10/2018,803.01,1
10/2018,166.0,10
10/2018,360.0,1
10/2018,173.0,9
10/2018,1059.0,1
10/2018,45.0,7
10/2018,581.0,1
10/2018,970.0,1
10/2018,417.0,12
10/2018,433.0,5
10/2018,51.0,9
10/2018,462.03,7
10/2018,337.0,4
10/2018,276.0,3
10/2018,740.0,1
10/2018,257.0,5
10/2018,264.0,1
10/2018,327.0,3
10/2018,23.0,9
10/2018,20.01,2
10/2018,139.0,2
10/2018,265.0,8
10/2018,519.0,1
10/2018,775.0,1
10/2018,734.0,1
10/2018,706.0,1
10/2018,147.01,7
10/2018,59.0,1
10/2018,81.0,10
11/2018,228.01,1
11/2018,170.16,1
11/2018,1130.0,1
11/2018,998.01,1
10/2018,849.02,1
10/2018,42.0,11
10/2018,358.0,3
10/2018,213.03,5
10/2018,695.0,2
10/2018,596.0,1
10/2018,35.0,1
10/2018,93.01,3
10/2018,174.02,2
10/2018,277.01,2
10/2018,31.0,3
10/2018,40.03,3
10/2018,215.02,3
10/2018,253.0,3
10/2018,824.0,3
10/2018,199.0,6
10/2018,365.01,3
10/2018,41.0,8
10/2018,303.0,6
10/2018,60.0,2
10/2018,169.0,8
10/2018,163.0,11
10/2018,929.0,3
10/2018,92.0,2
10/2018,75.0,8
10/2018,39.0,12
10/2018,236.0,3
10/2018,172.0,12
10/2018,71.0,10
10/2018,182.0,2
10/2018,523.0,5
10/2018,934.02,1
10/2018,340.0,2
10/2018,674.0,1
10/2018,277.02,2
10/2018,195.0,10
10/2018,900.0,7
10/2018,928.0,1
10/2018,235.02,6
10/2018,1291.04,1
10/2018,183.0,3
10/2018,110.0,3
10/2018,779.06,3
10/2018,328.0,3
10/2018,353.0,1
10/2018,277.0,8
10/2018,828.0,1
10/2018,642.0,1
10/2018,66.0,4
10/2018,84.0,1
10/2018,154.01,2
10/2018,293.0,3
10/2018,347.0,9
10/2018,1118.0,4
10/2018,912.0,5
10/2018,326.0,3
10/2018,1185.0,1
10/2018,91.0,22
10/2018,435.0,5
10/2018,99.01,4
10/2018,370.0,1
10/2018,462.05,5
10/2018,401.0,2
10/2018,535.0,1
10/2018,279.0,8
10/2018,99.02,1
10/2018,1291.02,1
10/2018,663.01,1
10/2018,151.02,5
10/2018,291.04,4
10/2018,418.0,1
10/2018,319.01,2
10/2018,405.01,3
10/2018,375.0,5
10/2018,83.0,2
10/2018,207.0,2
10/2018,85.0,5
10/2018,330.0,6
10/2018,916.03,1
10/2018,1571.02,1
10/2018,944.01,3
10/2018,910.0,13
10/2018,109.0,4
10/2018,100.0,5
10/2018,892.0,3
10/2018,925.0,1
10/2018,822.0,7
10/2018,518.0,2
10/2018,207.02,3
10/2018,161.0,2
10/2018,568.0,6
10/2018,624.0,4
10/2018,855.0,1
10/2018,111.0,5
10/2018,394.0,6
10/2018,1189.0,2
10/2018,259.0,1
10/2018,27.02,3
10/2018,990.0,1
10/2018,1241.0,2
10/2018,666.0,1
10/2018,409.0,5
10/2018,671.0,1
10/2018,149.0,3
10/2018,387.0,2
10/2018,1579.03,3
10/2018,177.02,3
10/2018,18.0,9
10/2018,243.02,7
10/2018,323.0,2
10/2018,1029.0,1
10/2018,177.01,4
10/2018,383.03,3
10/2018,217.0,4
10/2018,226.01,1
10/2018,395.0,5
10/2018,371.0,8
10/2018,353.01,1
10/2018,924.0,1
10/2018,503.0,1
10/2018,547.0,1
10/2018,43.0,14
10/2018,238.0,1
10/2018,115.02,3
10/2018,938.0,1
10/2018,151.0,3
10/2018,870.0,2
10/2018,461.0,1
10/2018,201.0,4
10/2018,570.0,3
10/2018,886.0,1
10/2018,197.0,2
10/2018,171.0,5
10/2018,721.0,1
10/2018,1110.0,1
10/2018,14.02,1
10/2018,33.02,3
10/2018,29.0,1
10/2018,145.0,7
10/2018,57.0,1
10/2018,50.0,2
10/2018,225.0,6
10/2018,458.0,5
10/2018,26.01,1
10/2018,203.0,1
10/2018,29.02,2
10/2018,375.04,4
10/2018,208.03,2
10/2018,227.0,4
10/2018,407.02,5
10/2018,361.0,3
10/2018,449.01,5
10/2018,889.02,3
10/2018,283.0,9
10/2018,610.04,2
10/2018,96.0,2
10/2018,38.0,8
10/2018,239.0,4
10/2018,430.0,1
10/2018,153.02,3
10/2018,1.02,1
10/2018,186.0,2
10/2018,129.02,4
10/2018,1201.0,1
10/2018,349.01,1
10/2018,539.01,2
10/2018,235.01,5
10/2018,377.0,1
10/2018,446.01,1
10/2018,194.0,6
10/2018,997.05,1
10/2018,254.02,6
10/2018,178.0,2
10/2018,508.03,1
10/2018,682.0,1
10/2018,119.0,4
10/2018,156.03,2
10/2018,134.0,6
10/2018,222.0,6
10/2018,37.0,5
10/2018,284.0,4
10/2018,78.0,3
10/2018,86.0,2
10/2018,982.0,3
10/2018,431.02,1
10/2018,9.0,5
10/2018,770.0,2
10/2018,1144.0,2
10/2018,406.0,3
10/2018,158.01,2
10/2018,443.01,1
10/2018,61.0,5
10/2018,197.02,1
10/2018,127.0,3
10/2018,697.02,3
10/2018,389.0,4
10/2018,34.0,4
10/2018,253.02,1
10/2018,1227.02,1
10/2018,845.0,1
10/2018,229.01,1
10/2018,183.02,2
10/2018,379.0,11
10/2018,462.07,2
10/2018,303.02,1
10/2018,168.0,5
10/2018,223.01,2
10/2018,29.01,3
10/2018,22.01,5
10/2018,263.0,7
10/2018,133.0,5
10/2018,415.0,2
10/2018,1571.01,2
10/2018,49.0,6
10/2018,53.0,4
10/2018,432.0,1
10/2018,826.0,2
10/2018,8.0,8
10/2018,101.0,2
10/2018,231.0,4
10/2018,799.0,1
10/2018,289.0,3
10/2018,545.0,1
10/2018,894.0,2
10/2018,1551.04,2
10/2018,245.01,5
10/2018,345.0,2
10/2018,402.0,1
10/2018,185.0,1
10/2018,112.02,5
10/2018,385.0,3
10/2018,94.0,2
10/2018,1220.0,3
10/2018,1098.0,3
10/2018,367.0,3
10/2018,62.0,2
10/2018,393.0,8
10/2018,65.02,2
10/2018,136.01,1
10/2018,353.02,2
10/2018,359.0,6
10/2018,132.01,3
10/2018,1156.0,6
10/2018,153.0,3
10/2018,585.0,1
10/2018,311.0,5
10/2018,429.02,2
10/2018,551.0,2
10/2018,30.02,2
10/2018,126.01,1
10/2018,919.0,1
10/2018,507.0,1
10/2018,215.0,3
10/2018,36.0,1
10/2018,600.0,2
10/2018,77.0,6
10/2018,809.0,3
10/2018,2074.0,3
10/2018,184.0,1
10/2018,782.0,1
10/2018,140.0,2
10/2018,233.01,1
10/2018,884.0,3
10/2018,1483.0,1
10/2018,319.0,1
10/2018,52.0,3
10/2018,539.0,1
10/2018,67.0,6
10/2018,896.0,3
10/2018,860.0,2
10/2018,1070.01,1
10/2018,261.0,5
10/2018,223.0,1
10/2018,613.01,1
10/2018,216.01,2
10/2018,1047.0,3
10/2018,247.0,6
10/2018,28.0,4
10/2018,945.0,1
10/2018,136.02,1
10/2018,312.0,1
10/2018,405.02,1
10/2018,79.0,4
10/2018,440.0,2
10/2018,185.01,4
10/2018,226.0,6
10/2018,840.0,2
10/2018,299.0,3
10/2018,383.01,7
10/2018,907.0,1
10/2018,146.02,4
10/2018,271.0,4
10/2018,335.0,2
10/2018,342.0,2
10/2018,64.0,4
10/2018,556.0,1
10/2018,954.0,3
10/2018,82.0,2
10/2018,80.0,3
10/2018,380.0,2
10/2018,882.0,1
10/2018,90.0,5
10/2018,333.0,1
10/2018,669.0,1
10/2018,638.0,2
10/2018,219.0,4
10/2018,399.0,2
10/2018,136.03,1
10/2018,680.0,1
10/2018,329.0,2
10/2018,504.0,1
10/2018,220.0,2
10/2018,462.09,4
10/2018,526.0,1
10/2018,1174.0,2
10/2018,1214.0,4
10/2018,180.0,5
10/2018,59.02,1
10/2018,484.01,1
10/2018,208.06,1
10/2018,391.0,5
10/2018,174.01,5
10/2018,1.01,1
10/2018,848.0,1
10/2018,112.0,1
10/2018,514.0,1
10/2018,798.02,1
10/2018,50.01,1
10/2018,223.02,1
10/2018,991.0,1
10/2018,456.0,2
10/2018,302.02,3
10/2018,872.0,1
10/2018,94.01,1
10/2018,232.0,6
10/2018,70.0,2
10/2018,493.02,4
10/2018,309.02,4
10/2018,30.01,6
10/2018,442.0,1
10/2018,88.0,1
10/2018,114.02,2
10/2018,336.0,3
10/2018,19.01,1
10/2018,125.0,4
10/2018,201.02,2
10/2018,86.01,1
10/2018,420.0,4
10/2018,165.0,2
10/2018,245.02,3
10/2018,183.01,1
10/2018,104.0,1
10/2018,132.02,2
10/2018,357.02,2
10/2018,325.0,2
10/2018,221.01,1
10/2018,469.02,1
10/2018,147.0,2
10/2018,859.0,1
10/2018,10.02,2
10/2018,297.0,3
10/2018,1022.0,1
10/2018,73.0,4
10/2018,553.0,1
10/2018,6.0,7
10/2018,998.0,1
10/2018,664.03,2
10/2018,207.01,1
10/2018,382.0,3
10/2018,63.01,3
10/2018,447.0,3
10/2018,981.0,1
10/2018,898.0,2
10/2018,511.0,2
10/2018,549.0,3
10/2018,351.0,1
10/2018,679.0,2
10/2018,766.0,1
10/2018,30.0,1
10/2018,390.0,2
10/2018,206.0,3
10/2018,462.06,1
10/2018,352.0,2
10/2018,130.0,2
10/2018,890.0,3
10/2018,918.0,1
10/2018,133.02,2
10/2018,779.02,1
10/2018,1028.01,3
10/2018,1441.0,1
10/2018,1409.01,1
10/2018,972.02,1
10/2018,260.0,3
10/2018,315.0,1
10/2018,858.0,1
10/2018,998.01,1
10/2018,656.0,3
10/2018,1018.0,1
10/2018,594.02,3
10/2018,305.0,1
10/2018,664.02,2
10/2018,76.0,5
10/2018,118.0,2
10/2018,808.0,2
10/2018,713.05,1
10/2018,399.01,4
10/2018,920.0,1
10/2018,779.05,1
10/2018,273.02,2
10/2018,205.01,7
10/2018,63.0,3
10/2018,496.0,2
10/2018,237.0,5
10/2018,1010.0,1
10/2018,1132.0,2
10/2018,1172.02,2
10/2018,1126.0,3
10/2018,1237.0,5
10/2018,55.01,1
10/2018,197.01,1
10/2018,224.0,3
10/2018,571.0,1
10/2018,339.0,2
10/2018,200.0,4
10/2018,151.01,2
10/2018,208.0,2
10/2018,850.0,3
10/2018,512.0,1
10/2018,816.0,1
10/2018,762.0,1
10/2018,46.0,2
10/2018,127.01,1
10/2018,246.0,1
10/2018,1012.0,2
10/2018,253.01,1
10/2018,612.0,2
10/2018,378.0,1
10/2018,748.0,1
10/2018,610.03,1
10/2018,214.0,2
10/2018,65.01,1
10/2018,441.0,2
10/2018,288.02,1
10/2018,185.02,3
10/2018,462.02,1
10/2018,262.0,1
10/2018,150.0,2
10/2018,55.02,1
10/2018,235.0,2
10/2018,1579.01,2
10/2018,626.0,2
10/2018,429.0,7
10/2018,7.01,1
10/2018,960.0,1
10/2018,868.0,4
10/2018,525.0,2
10/2018,539.02,1
10/2018,373.0,2
10/2018,1192.0,1
10/2018,1167.0,1
10/2018,196.0,3
10/2018,988.0,1
10/2018,538.0,1
10/2018,400.0,1
10/2018,319.02,4
10/2018,302.01,1
10/2018,437.0,2
10/2018,392.0,1
10/2018,144.02,1
10/2018,1032.01,1
10/2018,820.0,3
10/2018,1004.0,2
10/2018,469.01,1
10/2018,425.0,1
10/2018,148.01,2
10/2018,181.01,2
10/2018,33.01,1
10/2018,349.02,1
10/2018,97.0,2
10/2018,513.0,3
10/2018,209.0,1
10/2018,152.0,6
10/2018,436.0,2
10/2018,790.02,4
10/2018,229.0,3
10/2018,950.0,3
10/2018,233.0,1
10/2018,1097.0,2
10/2018,1210.0,1
10/2018,58.0,4
10/2018,491.0,2
10/2018,779.07,1
10/2018,942.03,3
10/2018,1522.0,2
10/2018,10.01,3
10/2018,313.0,2
10/2018,419.0,2
10/2018,301.0,2
10/2018,1507.02,2
10/2018,908.0,3
10/2018,1116.0,1
10/2018,878.0,1
10/2018,291.0,5
10/2018,462.08,3
10/2018,404.0,3
10/2018,1621.0,1
10/2018,497.0,1
10/2018,54.0,3
10/2018,575.0,1
10/2018,128.04,1
10/2018,1579.02,1
10/2018,386.0,1
10/2018,170.09,1
10/2018,31.02,1
10/2018,26.02,2
10/2018,241.0,4
10/2018,179.0,1
10/2018,267.01,1
10/2018,22.02,1
10/2018,414.0,1
10/2018,462.0,1
10/2018,354.0,1
10/2018,324.0,1
10/2018,583.0,1
10/2018,700.0,1
10/2018,108.01,1
10/2018,1451.02,1
10/2018,431.0,3
10/2018,146.05,1
10/2018,832.0,2
10/2018,1247.0,1
10/2018,40.04,1
10/2018,292.0,1
10/2018,760.0,1
10/2018,794.0,2
10/2018,184.01,1
10/2018,434.0,2
10/2018,15.01,3
10/2018,256.0,1
10/2018,216.0,2
10/2018,515.0,1
10/2018,1058.04,1
10/2018,20.02,1
10/2018,148.02,1
10/2018,121.01,2
10/2018,291.02,1
10/2018,874.01,2
10/2018,1032.02,3
10/2018,192.0,1
10/2018,516.01,3
10/2018,486.0,1
10/2018,274.01,1
10/2018,637.0,1
10/2018,697.01,1
10/2018,27.01,1
10/2018,846.0,1
10/2018,934.01,1
10/2018,202.0,2
10/2018,527.0,1
10/2018,572.0,1
10/2018,1200.0,1
10/2018,240.0,1
10/2018,1155.0,2
10/2018,892.01,1
10/2018,932.0,2
10/2018,1367.0,1
10/2018,998.02,1
10/2018,2.0,1
10/2018,120.0,1
10/2018,170.14,1
10/2018,564.0,1
10/2018,266.0,1
10/2018,806.0,1
10/2018,303.01,1
10/2018,448.0,1
10/2018,563.02,1
10/2018,156.02,2
10/2018,554.0,1
10/2018,1227.04,2
10/2018,616.01,1
10/2018,228.0,1
10/2018,506.0,1
10/2018,351.02,1
10/2018,1150.0,1
10/2018,116.0,2
10/2018,189.02,2
10/2018,296.0,1
10/2018,498.0,1
10/2018,1129.0,1
10/2018,729.0,1
10/2018,958.0,1
10/2018,627.0,1
10/2018,413.0,1
10/2018,119.02,1
10/2018,478.01,1
10/2018,485.0,1
10/2018,44.0,2
10/2018,191.0,1
10/2018,428.0,2
10/2018,62.02,1
10/2018,437.02,1
10/2018,142.02,1
10/2018,366.0,1
10/2018,227.02,1
10/2018,72.0,3
10/2018,1277.0,1
10/2018,274.02,1
10/2018,142.0,1
10/2018,374.0,1
10/2018,254.0,1
10/2018,403.02,2
10/2018,170.16,1
10/2018,655.01,1
10/2018,269.0,1
10/2018,291.05,1
10/2018,170.12,1
10/2018,1333.0,2
10/2018,1033.0,1
10/2018,479.0,1
10/2018,403.0,1
10/2018,493.01,1
10/2018,187.0,1
10/2018,1106.0,3
10/2018,237.04,1
10/2018,796.01,1
10/2018,853.0,1
10/2018,576.0,1
10/2018,399.02,2
10/2018,1377.0,1
10/2018,471.0,1
10/2018,944.02,2
10/2018,114.01,2
10/2018,1267.0,1
10/2018,205.0,1
10/2018,720.0,1
10/2018,307.01,1
10/2018,52.01,1
10/2018,187.01,1
10/2018,696.02,1
10/2018,357.01,1
10/2018,499.0,2
10/2018,360.02,1
10/2018,1128.0,1
10/2018,1196.0,1
10/2018,266.02,1
10/2018,1463.0,1
10/2018,431.01,1
10/2018,608.0,1
10/2018,1008.03,1
10/2018,504.01,1
10/2018,19.02,1
10/2018,160.02,1
10/2018,490.0,1
10/2018,1078.0,1
10/2018,135.0,1
10/2018,93.0,1
10/2018,40.02,1
10/2018,698.0,1
10/2018,3.0,1
10/2018,411.0,1
10/2018,962.0,1
10/2018,504.02,1
09/2018,762.0,1
09/2018,159.0,3
09/2018,29.02,3
09/2018,175.0,8
09/2018,29.01,3
09/2018,81.0,6
09/2018,100.0,6
09/2018,255.0,3
09/2018,283.0,12
09/2018,211.0,19
09/2018,1339.0,1
09/2018,222.0,3
09/2018,669.0,1
10/2018,1176.02,1
10/2018,1188.0,1
10/2018,582.0,1
10/2018,170.05,1
10/2018,657.03,1
10/2018,1130.0,1
10/2018,309.01,1
10/2018,209.01,1
10/2018,426.0,1
10/2018,757.01,1
10/2018,146.01,1
10/2018,199.01,1
10/2018,255.0,1
10/2018,205.02,1
09/2018,1128.0,4
09/2018,1162.0,1
09/2018,288.01,1
09/2018,363.0,11
09/2018,112.02,8
09/2018,51.0,11
09/2018,277.04,1
09/2018,274.01,1
09/2018,910.0,14
09/2018,297.0,6
09/2018,43.0,17
09/2018,1126.0,2
09/2018,29.0,2
09/2018,193.0,5
09/2018,302.01,3
09/2018,370.0,2
09/2018,205.01,12
09/2018,24.0,9
09/2018,1164.0,2
09/2018,65.0,5
09/2018,96.02,2
09/2018,186.0,9
09/2018,190.0,8
09/2018,163.0,10
09/2018,353.01,2
09/2018,417.0,13
09/2018,259.0,4
09/2018,235.02,3
09/2018,177.0,9
09/2018,230.0,4
09/2018,91.0,13
09/2018,325.0,3
09/2018,265.0,5
09/2018,399.01,5
09/2018,722.0,2
09/2018,142.01,1
09/2018,65.01,1
09/2018,57.0,2
09/2018,67.0,7
09/2018,204.0,6
09/2018,462.09,2
09/2018,8.0,3
09/2018,245.0,7
09/2018,156.01,2
09/2018,479.0,1
09/2018,189.0,30
09/2018,431.0,1
09/2018,458.0,3
09/2018,110.0,8
09/2018,68.0,5
09/2018,1529.01,2
09/2018,392.0,5
09/2018,235.01,9
09/2018,944.02,2
09/2018,383.0,6
09/2018,307.0,11
09/2018,79.0,4
09/2018,44.0,1
09/2018,99.02,1
09/2018,295.0,5
09/2018,429.01,2
09/2018,151.0,3
09/2018,489.0,1
09/2018,343.0,4
09/2018,422.0,1
09/2018,181.0,8
09/2018,379.0,6
09/2018,90.0,10
09/2018,1227.04,8
09/2018,75.0,8
09/2018,172.0,5
09/2018,228.0,3
09/2018,273.0,18
09/2018,194.0,12
09/2018,303.0,6
09/2018,2.02,8
09/2018,50.02,1
09/2018,209.01,5
09/2018,1010.03,2
09/2018,254.02,6
09/2018,210.01,1
09/2018,247.0,12
09/2018,62.02,1
09/2018,133.0,11
09/2018,1210.0,2
09/2018,221.02,4
09/2018,229.0,4
09/2018,491.0,8
09/2018,656.0,2
09/2018,62.0,6
09/2018,365.02,1
09/2018,462.03,5
09/2018,359.0,3
09/2018,518.0,1
09/2018,411.0,4
09/2018,195.0,9
09/2018,257.0,9
09/2018,49.0,5
09/2018,908.0,5
09/2018,233.01,3
09/2018,242.0,9
09/2018,1104.0,9
09/2018,21.0,6
09/2018,192.0,4
09/2018,892.0,7
10/2018,620.0,1
10/2018,388.0,1
10/2018,181.02,1
10/2018,212.0,1
10/2018,416.0,1
10/2018,277.05,1
10/2018,19.03,1
09/2018,462.05,3
09/2018,563.02,1
09/2018,595.01,2
09/2018,906.0,2
09/2018,56.0,4
09/2018,152.0,11
09/2018,287.0,4
09/2018,336.0,9
09/2018,179.0,6
09/2018,219.0,8
09/2018,147.01,4
09/2018,10.02,2
09/2018,378.0,2
09/2018,146.05,3
09/2018,426.0,4
09/2018,319.0,3
09/2018,15.01,6
