Time,CensusTract,NumberOfReports
12/2018,1164.0,1
12/2018,10.0,1
12/2018,428.0,1
12/2018,1110.0,2
12/2018,856.0,2
12/2018,72.0,2
12/2018,201.0,4
12/2018,1214.0,3
12/2018,179.0,2
12/2018,1032.01,5
12/2018,616.02,1
12/2018,500.0,2
12/2018,67.0,10
12/2018,276.0,1
12/2018,462.03,4
12/2018,414.02,1
12/2018,26.01,2
12/2018,191.0,1
12/2018,16.0,2
12/2018,293.0,5
12/2018,55.02,1
12/2018,303.01,1
12/2018,431.0,2
12/2018,231.0,4
12/2018,403.02,2
12/2018,115.02,4
12/2018,450.0,3
12/2018,49.0,3
12/2018,326.0,2
12/2018,492.01,1
12/2018,166.0,2
12/2018,112.01,1
12/2018,387.0,2
12/2018,405.01,1
12/2018,396.0,2
12/2018,410.0,1
12/2018,1227.03,1
12/2018,309.02,4
12/2018,1.01,4
12/2018,964.0,4
12/2018,283.0,8
12/2018,900.0,3
12/2018,216.02,1
12/2018,1277.0,1
12/2018,59.02,2
12/2018,229.0,3
12/2018,22.01,3
12/2018,261.0,10
12/2018,213.02,1
12/2018,169.0,4
12/2018,136.02,1
12/2018,424.0,3
12/2018,185.02,2
12/2018,33.0,11
12/2018,1159.0,1
12/2018,495.0,3
12/2018,204.0,2
12/2018,696.02,4
12/2018,277.02,2
12/2018,65.0,8
12/2018,241.0,5
12/2018,20.0,1
12/2018,232.0,4
12/2018,31.0,1
12/2018,170.13,2
12/2018,526.0,1
12/2018,719.0,3
12/2018,349.01,1
12/2018,44.0,1
12/2018,565.0,1
12/2018,1158.0,2
12/2018,411.0,3
12/2018,297.0,6
12/2018,293.02,1
12/2018,343.0,2
12/2018,1017.0,2
12/2018,311.0,8
12/2018,462.01,1
12/2018,220.0,2
12/2018,132.01,2
12/2018,126.02,2
12/2018,161.0,3
12/2018,111.0,1
12/2018,103.0,1
12/2018,76.0,2
12/2018,171.0,3
12/2018,393.0,3
12/2018,10.01,1
12/2018,307.0,4
12/2018,514.0,1
12/2018,88.0,1
12/2018,36.01,2
12/2018,504.01,1
12/2018,383.0,4
12/2018,523.0,3
12/2018,1162.0,2
12/2018,197.0,4
12/2018,511.0,1
12/2018,221.0,2
12/2018,131.0,3
12/2018,90.01,1
12/2018,63.01,2
12/2018,352.0,2
12/2018,200.0,4
12/2018,690.0,3
12/2018,264.0,1
12/2018,121.0,1
12/2018,779.04,3
12/2018,93.01,2
12/2018,146.01,1
12/2018,871.0,3
12/2018,564.0,1
12/2018,657.02,1
12/2018,277.04,1
12/2018,677.0,1
12/2018,253.0,1
12/2018,1333.0,3
12/2018,1441.0,2
12/2018,153.0,2
12/2018,146.04,1
12/2018,208.06,2
12/2018,454.0,2
12/2018,309.03,3
12/2018,179.02,1
12/2018,158.02,1
12/2018,429.02,2
12/2018,237.0,1
12/2018,966.0,2
12/2018,82.0,3
12/2018,549.0,4
12/2018,53.0,1
12/2018,330.0,3
12/2018,75.0,4
12/2018,797.01,1
12/2018,265.01,2
12/2018,622.0,1
12/2018,224.0,3
12/2018,24.0,6
12/2018,427.0,1
12/2018,703.0,1
12/2018,413.0,1
12/2018,310.0,1
12/2018,1.0,1
12/2018,271.0,3
12/2018,663.01,1
12/2018,192.0,2
12/2018,149.02,1
12/2018,585.0,2
12/2018,374.01,1
12/2018,344.0,1
12/2018,533.0,1
12/2018,334.0,1
12/2018,664.03,1
12/2018,151.01,1
12/2018,228.0,3
12/2018,138.0,9
12/2018,374.0,2
12/2018,258.0,1
12/2018,944.02,1
12/2018,182.0,3
12/2018,1184.0,1
12/2018,21.0,2
12/2018,351.02,1
12/2018,513.0,3
12/2018,972.04,4
12/2018,155.0,3
12/2018,779.07,3
12/2018,846.02,1
12/2018,616.01,1
12/2018,360.01,1
12/2018,1347.01,1
12/2018,128.05,1
12/2018,575.0,1
12/2018,151.0,5
12/2018,779.05,1
12/2018,237.04,1
12/2018,1126.0,2
12/2018,1006.0,1
12/2018,221.02,1
12/2018,260.0,1
12/2018,700.0,1
12/2018,50.02,1
12/2018,510.01,2
12/2018,47.0,3
12/2018,466.0,1
12/2018,154.01,3
12/2018,199.0,3
12/2018,124.0,2
12/2018,223.0,2
12/2018,221.01,1
12/2018,249.0,1
12/2018,233.02,2
12/2018,506.0,2
12/2018,1122.0,5
12/2018,255.0,2
12/2018,1220.0,5
12/2018,177.0,1
12/2018,181.01,1
12/2018,134.0,8
12/2018,170.05,1
12/2018,8.0,4
12/2018,154.02,1
12/2018,438.0,1
12/2018,183.02,2
12/2018,610.02,1
12/2018,720.0,1
12/2018,1123.0,2
12/2018,680.0,2
12/2018,62.0,2
12/2018,412.0,1
12/2018,229.02,2
12/2018,1409.01,1
12/2018,988.0,1
12/2018,737.0,1
12/2018,66.0,3
12/2018,1435.0,1
12/2018,246.0,2
12/2018,181.02,1
12/2018,779.06,4
12/2018,497.0,1
12/2018,581.0,1
12/2018,403.0,1
12/2018,419.0,1
12/2018,1182.01,1
12/2018,1429.0,1
12/2018,156.0,2
12/2018,770.0,3
12/2018,20.01,2
12/2018,55.01,1
12/2018,443.0,1
12/2018,456.0,2
12/2018,5.01,1
12/2018,167.0,3
12/2018,872.0,2
12/2018,402.0,1
12/2018,563.02,2
12/2018,357.0,1
12/2018,460.0,1
12/2018,287.0,5
12/2018,796.01,1
12/2018,972.02,1
12/2018,248.0,1
12/2018,207.0,1
12/2018,174.02,2
12/2018,337.0,1
12/2018,1058.04,1
12/2018,837.0,1
12/2018,299.0,1
12/2018,7.01,1
12/2018,782.0,1
12/2018,432.0,1
12/2018,87.0,1
12/2018,442.0,1
12/2018,11.0,1
12/2018,388.0,3
12/2018,633.01,1
12/2018,591.0,1
12/2018,938.0,3
12/2018,1172.02,1
12/2018,383.03,3
12/2018,14.02,3
12/2018,357.02,1
12/2018,431.02,2
12/2018,1447.0,1
12/2018,366.0,2
12/2018,36.0,2
12/2018,229.01,2
12/2018,93.02,1
12/2018,33.01,3
12/2018,27.02,1
12/2018,119.0,1
12/2018,618.0,1
12/2018,361.0,1
12/2018,22.0,3
12/2018,59.0,3
12/2018,539.01,1
12/2018,30.02,4
12/2018,196.0,3
12/2018,373.0,2
12/2018,226.01,1
12/2018,254.02,2
12/2018,135.0,2
12/2018,307.01,1
12/2018,94.0,2
12/2018,539.0,1
12/2018,188.0,2
12/2018,1192.0,1
12/2018,440.0,1
12/2018,288.0,1
12/2018,786.01,1
12/2018,924.0,3
12/2018,40.03,2
12/2018,798.02,1
12/2018,329.0,1
12/2018,338.0,1
12/2018,1301.0,1
12/2018,408.0,2
12/2018,62.01,1
12/2018,81.0,3
12/2018,216.01,2
12/2018,38.0,2
12/2018,745.0,1
12/2018,462.09,1
12/2018,275.0,1
12/2018,457.0,1
12/2018,625.0,1
12/2018,479.0,1
12/2018,96.02,2
12/2018,289.0,2
12/2018,20.02,1
12/2018,168.0,2
12/2018,1059.0,1
12/2018,1181.0,1
12/2018,498.0,1
12/2018,982.0,2
12/2018,149.0,4
12/2018,13.0,1
12/2018,425.0,2
12/2018,235.0,2
12/2018,558.0,1
12/2018,1098.0,1
12/2018,233.0,5
12/2018,222.0,1
12/2018,59.01,1
12/2018,254.0,1
12/2018,99.02,1
12/2018,145.0,3
12/2018,116.0,1
12/2018,386.0,2
12/2018,27.01,1
12/2018,536.01,1
12/2018,862.0,1
12/2018,446.01,2
12/2018,757.01,1
12/2018,462.02,1
12/2018,659.0,1
12/2018,1551.03,1
12/2018,309.01,1
12/2018,40.02,3
12/2018,865.0,2
12/2018,114.0,1
12/2018,944.01,2
12/2018,713.04,1
12/2018,722.0,3
12/2018,453.0,2
12/2018,997.01,1
12/2018,320.0,1
12/2018,184.01,1
12/2018,123.01,1
12/2018,824.0,1
12/2018,868.0,1
12/2018,187.03,1
12/2018,1507.02,2
12/2018,505.0,1
12/2018,180.0,1
12/2018,418.0,1
12/2018,294.0,1
12/2018,441.0,1
12/2018,42.0,1
12/2018,1155.0,1
12/2018,664.02,1
12/2018,237.03,1
12/2018,306.0,1
12/2018,414.0,3
12/2018,144.0,4
12/2018,127.01,1
12/2018,216.0,1
12/2018,144.02,2
12/2018,369.01,1
12/2018,788.01,1
12/2018,7.02,1
12/2018,582.0,2
12/2018,159.0,1
12/2018,806.0,2
12/2018,282.0,2
12/2018,563.01,1
12/2018,493.01,2
12/2018,291.02,2
12/2018,534.01,2
12/2018,1529.02,2
12/2018,132.02,2
12/2018,262.0,1
12/2018,147.0,2
12/2018,146.07,1
12/2018,1070.01,1
12/2018,814.0,1
12/2018,1621.0,2
12/2018,400.0,1
12/2018,217.0,2
12/2018,1241.0,1
12/2018,436.0,1
12/2018,792.0,1
12/2018,580.0,1
12/2018,83.0,2
12/2018,884.0,2
12/2018,399.0,1
12/2018,176.0,1
12/2018,355.0,1
12/2018,80.0,1
12/2018,267.0,1
12/2018,1208.02,1
12/2018,888.0,2
12/2018,866.0,1
12/2018,245.02,1
12/2018,486.0,1
12/2018,245.01,2
12/2018,377.0,1
12/2018,934.02,1
12/2018,1451.02,1
12/2018,65.02,1
12/2018,29.01,2
12/2018,491.0,1
12/2018,892.02,1
12/2018,392.0,1
12/2018,171.02,1
12/2018,107.01,1
12/2018,274.02,1
12/2018,174.01,1
12/2018,531.01,1
12/2018,277.05,1
12/2018,1047.0,1
12/2018,339.0,2
12/2018,702.01,1
12/2018,1210.0,2
12/2018,446.0,1
12/2018,1078.0,1
12/2018,281.0,1
12/2018,109.0,1
12/2018,473.0,1
12/2018,203.0,1
12/2018,1339.0,1
12/2018,882.0,1
12/2018,1176.02,1
12/2018,711.0,1
12/2018,543.0,1
12/2018,243.01,1
12/2018,743.0,1
12/2018,362.0,1
12/2018,925.0,2
12/2018,682.0,1
12/2018,317.02,1
12/2018,542.0,1
12/2018,590.0,1
12/2018,140.0,1
12/2018,197.02,1
12/2018,443.01,1
12/2018,802.0,1
12/2018,1463.0,1
12/2018,488.0,1
12/2018,360.0,1
12/2018,198.0,1
12/2018,525.0,1
12/2018,520.0,1
12/2018,916.0,1
12/2018,273.02,1
12/2018,270.0,1
12/2018,50.0,1
12/2018,358.0,1
12/2018,317.0,1
12/2018,769.01,1
12/2018,220.02,1
12/2018,48.0,1
12/2018,421.0,1
11/2018,397.0,4
11/2018,90.0,5
11/2018,28.0,5
11/2018,179.0,4
11/2018,213.0,1
11/2018,454.0,1
11/2018,363.0,7
11/2018,149.0,6
11/2018,21.0,10
11/2018,9.0,11
11/2018,493.02,7
11/2018,498.0,1
11/2018,414.0,5
11/2018,305.0,2
11/2018,336.0,5
11/2018,173.0,4
11/2018,973.0,2
11/2018,66.0,5
11/2018,110.0,11
11/2018,446.01,1
11/2018,211.0,16
11/2018,245.0,6
11/2018,254.02,3
11/2018,119.0,8
11/2018,135.0,4
11/2018,72.0,8
11/2018,713.04,3
11/2018,30.01,6
11/2018,435.0,7
11/2018,169.0,8
11/2018,189.0,10
11/2018,251.0,9
11/2018,549.0,5
11/2018,383.0,10
11/2018,361.0,3
11/2018,62.0,4
11/2018,472.0,1
11/2018,131.0,6
11/2018,63.0,7
11/2018,1529.01,3
11/2018,197.0,5
11/2018,1237.0,4
11/2018,53.02,3
11/2018,802.0,2
11/2018,403.0,3
11/2018,215.0,4
11/2018,144.02,4
11/2018,1070.01,3
11/2018,265.0,4
11/2018,226.01,1
11/2018,545.0,2
11/2018,81.0,17
11/2018,132.0,4
11/2018,240.0,7
11/2018,888.0,2
11/2018,413.0,3
11/2018,579.01,1
11/2018,151.01,2
11/2018,302.02,4
11/2018,1010.0,1
11/2018,360.01,1
11/2018,230.0,3
11/2018,244.01,1
11/2018,431.0,3
11/2018,19.03,1
11/2018,242.0,9
11/2018,22.0,1
11/2018,143.0,7
11/2018,849.02,1
11/2018,65.0,5
11/2018,167.0,8
11/2018,600.0,4
11/2018,221.02,2
11/2018,137.0,5
11/2018,234.0,5
11/2018,126.0,1
11/2018,311.0,5
11/2018,108.01,1
11/2018,646.0,2
11/2018,51.0,12
11/2018,145.0,8
11/2018,38.0,5
11/2018,954.0,3
11/2018,878.0,1
11/2018,146.02,3
11/2018,43.0,10
11/2018,1220.0,3
11/2018,6.0,6
11/2018,380.0,3
11/2018,160.0,3
11/2018,496.0,1
12/2018,1124.0,1
12/2018,64.0,1
12/2018,341.0,1
12/2018,898.0,1
12/2018,560.0,1
12/2018,303.02,1
12/2018,864.0,1
12/2018,1200.0,1
11/2018,218.0,3
11/2018,1164.0,2
11/2018,79.0,8
11/2018,285.0,3
11/2018,100.0,2
11/2018,83.0,3
11/2018,390.0,2
11/2018,2.02,4
11/2018,136.0,1
11/2018,638.0,2
11/2018,326.0,3
11/2018,57.0,1
11/2018,1106.0,5
11/2018,910.0,14
11/2018,174.01,3
11/2018,146.08,1
11/2018,616.0,1
11/2018,128.0,1
11/2018,56.01,1
11/2018,253.0,4
11/2018,180.0,3
11/2018,248.0,2
11/2018,78.0,2
11/2018,853.0,1
11/2018,1122.0,1
11/2018,620.0,2
11/2018,177.02,1
11/2018,462.07,6
11/2018,127.0,3
11/2018,196.0,5
11/2018,277.02,2
11/2018,208.04,1
11/2018,199.0,2
11/2018,175.0,5
11/2018,462.08,1
11/2018,235.02,3
11/2018,1529.02,1
11/2018,172.0,4
11/2018,906.0,1
11/2018,478.0,4
11/2018,1429.0,1
11/2018,473.0,1
11/2018,1156.0,1
11/2018,1133.0,5
11/2018,334.0,1
11/2018,428.0,3
11/2018,555.0,1
11/2018,15.01,5
11/2018,482.0,1
11/2018,121.02,1
11/2018,632.0,1
11/2018,14.02,2
11/2018,207.02,2
