Time,Geoid,NumberOfReports
02/2017,36005040900,1
05/2017,36047040300,1
06/2017,36047070000,2
08/2017,36047152200,1
05/2017,36047034300,2
04/2017,36085029102,1
01/2017,36047016700,1
11/2017,36061001300,2
10/2017,36047017700,2
12/2017,36047090200,2
08/2017,36047048800,2
02/2017,36061025100,2
03/2017,36061022700,1
04/2017,36081006201,1
06/2017,36081119100,1
11/2017,36047009400,1
07/2017,36061008300,5
11/2017,36005037200,2
10/2017,36005021502,2
12/2017,36005022500,2
09/2017,36047040100,1
11/2017,36061017500,4
10/2017,36005032400,4
01/2017,36061013900,1
04/2017,36005008500,2
01/2017,36047042300,2
11/2017,36005002300,1
08/2017,36047112600,1
06/2017,36005040701,2
09/2017,36047045200,1
01/2017,36047036300,5
08/2017,36081114100,1
11/2017,36047040300,1
02/2017,36061003900,2
03/2017,36047067000,1
06/2017,36061023600,2
02/2017,36047042500,1
06/2017,36081051200,2
07/2017,36061003900,1
07/2017,36047002200,1
03/2017,36061021100,5
10/2017,36085014606,1
06/2017,36061004000,3
03/2017,36061009700,1
09/2017,36081080900,2
01/2017,36005028300,2
11/2017,36047035900,2
01/2017,36047029300,2
08/2017,36047070202,2
02/2017,36005033600,3
04/2017,36061004500,2
11/2017,36005022403,1
11/2017,36005040502,1
12/2017,36047004300,1
06/2017,36061008000,1
01/2017,36047017100,1
09/2017,36047028800,1
09/2017,36081028500,1
12/2017,36005018900,2
06/2017,36047029100,1
10/2017,36081129102,1
08/2017,36005045800,3
09/2017,36005012500,2
02/2017,36005036300,2
04/2017,36005025100,1
05/2017,36047040500,2
04/2017,36047036100,3
08/2017,36047013400,1
07/2017,36081061800,1
12/2017,36047005602,1
04/2017,36005036700,1
07/2017,36005008300,2
09/2017,36061027300,4
11/2017,36047043500,1
12/2017,36047038200,2
03/2017,36047011400,1
12/2017,36047044900,3
06/2017,36081029400,1
01/2017,36005004200,2
02/2017,36047011700,1
07/2017,36047034700,5
07/2017,36005021502,2
07/2017,36047056300,1
08/2017,36047035900,1
01/2017,36081030904,1
01/2017,36081145900,1
07/2017,36005036700,1
11/2017,36047030500,1
02/2017,36081143500,1
02/2017,36047090800,3
02/2017,36005037300,2
10/2017,36085029103,2
12/2017,36061026100,2
12/2017,36061020800,2
06/2017,36085012500,1
03/2017,36081007100,1
01/2017,36061014802,2
04/2017,36061006700,3
11/2017,36005022500,1
10/2017,36005043100,2
05/2017,36081019400,1
07/2017,36005003500,1
04/2017,36047027100,1
10/2017,36005036902,1
10/2017,36005003100,2
03/2017,36061023100,2
05/2017,36081143500,2
08/2017,36081112300,1
08/2017,36047079802,2
12/2017,36061012200,2
03/2017,36047088200,5
06/2017,36047088200,2
11/2017,36061013200,2
07/2017,36081025900,1
01/2017,36047102200,1
06/2017,36081018102,1
10/2017,36005040501,1
05/2017,36047077200,1
01/2017,36081099200,1
06/2017,36047018100,2
08/2017,36081025400,1
12/2017,36061010000,2
02/2017,36047003100,2
09/2017,36061022301,2
01/2017,36061026900,3
07/2017,36005004200,1
10/2017,36047000700,2
05/2017,36047080600,2
11/2017,36061001600,1
08/2017,36047009200,1
12/2017,36047010400,2
02/2017,36061020800,2
04/2017,36061012400,4
06/2017,36005009800,5
12/2017,36061019200,1
08/2017,36005022200,3
06/2017,36047015000,1
06/2017,36005022200,4
11/2017,36005040800,2
10/2017,36081029100,1
10/2017,36047027700,3
07/2017,36005005600,4
08/2017,36047038300,3
12/2017,36005028700,1
01/2017,36047013300,1
06/2017,36005021002,1
05/2017,36081122702,1
08/2017,36085000700,1
08/2017,36047122000,2
01/2017,36047036600,1
12/2017,36047112600,1
06/2017,36047056800,1
06/2017,36081129104,1
05/2017,36047081800,1
11/2017,36005034800,5
10/2017,36047058800,3
12/2017,36005048400,2
03/2017,36047114600,2
11/2017,36081018900,1
11/2017,36047037700,2
07/2017,36061010800,2
03/2017,36081043900,1
01/2017,36005019900,3
11/2017,36085020803,1
01/2017,36047092400,2
02/2017,36047115600,2
11/2017,36047002200,1
12/2017,36081041300,2
05/2017,36005018500,2
09/2017,36081085900,1
03/2017,36081115900,1
07/2017,36061002202,2
10/2017,36005038200,3
10/2017,36081044400,2
01/2017,36005048400,1
12/2017,36047028502,2
11/2017,36047111600,3
08/2017,36047052900,1
10/2017,36047030300,1
12/2017,36005039400,1
02/2017,36061013800,4
06/2017,36061023900,1
12/2017,36047118202,1
03/2017,36061021500,3
08/2017,36005013200,1
05/2017,36005040900,2
09/2017,36005022500,3
01/2017,36081097204,1
03/2017,36047003100,1
09/2017,36005038302,1
09/2017,36047087200,1
03/2017,36047067600,1
10/2017,36005014300,1
08/2017,36005024100,3
11/2017,36047029100,1
08/2017,36061019702,1
05/2017,36081094203,1
08/2017,36047079601,2
07/2017,36047016900,1
04/2017,36081005400,1
01/2017,36005016300,3
06/2017,36085013201,1
07/2017,36081150702,1
06/2017,36047042900,1
07/2017,36005040600,1
06/2017,36005004600,2
05/2017,36047007500,1
09/2017,36005009300,4
02/2017,36061016200,3
03/2017,36081054900,1
02/2017,36047051001,1
08/2017,36047037700,1
01/2017,36061003400,6
08/2017,36081035700,1
03/2017,36061015300,2
08/2017,36047027900,1
01/2017,36047005000,1
05/2017,36005013100,1
01/2017,36005037900,2
07/2017,36047031500,1
07/2017,36061002100,1
06/2017,36047049700,2
11/2017,36005038302,4
08/2017,36085002100,1
04/2017,36005027700,2
07/2017,36047112800,1
02/2017,36005002000,4
04/2017,36047003000,2
02/2017,36005003700,2
11/2017,36061021400,2
01/2017,36005006800,3
06/2017,36061008200,1
04/2017,36005033000,2
08/2017,36061022302,2
06/2017,36085009700,1
02/2017,36061017700,1
11/2017,36005019700,2
06/2017,36061019800,3
03/2017,36047080200,1
11/2017,36005009300,3
03/2017,36061002601,2
07/2017,36061001501,2
08/2017,36047024100,1
07/2017,36005006900,3
03/2017,36005012300,2
11/2017,36047030100,1
01/2017,36005039100,2
08/2017,36061002601,3
03/2017,36047051602,2
07/2017,36081049900,2
05/2017,36047036100,1
04/2017,36005018101,1
12/2017,36047032600,1
11/2017,36047044800,1
03/2017,36061008601,1
11/2017,36005012901,4
11/2017,36061019600,2
08/2017,36085011402,1
12/2017,36005024800,1
06/2017,36005027700,4
02/2017,36081069300,1
02/2017,36047050500,1
10/2017,36047051002,3
11/2017,36047090600,1
11/2017,36081003800,1
06/2017,36081005300,1
05/2017,36047003100,1
07/2017,36085031902,1
03/2017,36005011000,2
11/2017,36005018101,4
08/2017,36081101001,2
09/2017,36005038700,4
03/2017,36081094202,3
10/2017,36047111800,5
01/2017,36005051600,1
11/2017,36047000100,1
11/2017,36061004800,1
11/2017,36047034700,5
06/2017,36047050803,1
05/2017,36085017009,1
09/2017,36047018501,1
11/2017,36005023703,1
08/2017,36061001200,1
04/2017,36081142900,1
05/2017,36081094500,1
08/2017,36005041500,4
10/2017,36047016000,1
05/2017,36047075600,1
07/2017,36081103900,1
08/2017,6037207400,3
07/2017,36005021700,1
12/2017,36085001100,1
10/2017,36061002100,1
07/2017,36005017701,5
06/2017,36005019700,1
07/2017,36047043100,1
06/2017,36005033400,1
08/2017,36005018301,1
01/2017,36061020102,1
09/2017,36061006400,2
12/2017,36047094401,2
09/2017,36061007800,1
11/2017,36081000700,2
02/2017,36047003900,2
08/2017,36005009300,2
01/2017,36081043900,2
08/2017,36005026900,1
06/2017,36047046201,1
06/2017,36047052300,2
03/2017,36081069300,1
12/2017,36081066000,1
09/2017,36047030100,2
03/2017,36061006200,1
05/2017,36005009300,1
01/2017,36081157902,1
11/2017,36005026602,1
06/2017,36005005002,1
01/2017,36081008700,3
05/2017,36047090000,1
07/2017,36047031100,1
10/2017,36061012900,3
10/2017,36005006900,4
08/2017,36047051900,1
12/2017,36005025000,1
07/2017,36047088200,1
03/2017,36047121000,2
05/2017,36061019000,4
08/2017,36085013203,1
04/2017,36047019000,1
11/2017,36005019300,1
04/2017,36081146700,1
01/2017,36047011700,1
02/2017,36047102600,1
04/2017,36005040302,1
05/2017,36047004700,1
12/2017,36081027300,3
12/2017,36005018102,2
09/2017,36061025100,1
07/2017,36005033800,1
10/2017,36005020000,1
11/2017,36005037900,1
12/2017,36005021900,1
10/2017,36047036501,1
03/2017,36081030903,1
01/2017,36005011800,1
10/2017,36005014900,3
04/2017,36047047700,1
07/2017,36081103201,4
04/2017,36047043700,1
08/2017,36081097203,2
11/2017,36081055200,1
12/2017,36047036900,1
03/2017,36047002300,3
08/2017,36005005902,1
07/2017,36047077000,1
11/2017,36005039902,2
10/2017,36047002300,1
02/2017,36061021800,1
02/2017,36047122000,2
04/2017,36061005800,2
08/2017,36061016001,1
03/2017,36005038000,3
12/2017,36047087200,2
04/2017,36081007500,1
02/2017,36005007100,1
04/2017,36061017500,2
05/2017,36061025100,1
04/2017,36047041300,1
09/2017,36081069000,1
05/2017,36047051601,1
02/2017,36047023300,1
09/2017,36061029300,1
05/2017,36061015602,3
01/2017,36081029500,3
08/2017,36081044601,1
06/2017,36085013203,1
06/2017,36047000900,1
09/2017,36061001300,4
03/2017,36081004500,2
11/2017,36061024302,3
02/2017,36061006300,1
09/2017,36005042200,1
06/2017,36005012901,1
07/2017,36047014300,1
03/2017,36005000400,1
08/2017,36061001300,2
02/2017,36005019500,3
12/2017,36047069602,3
04/2017,36061026900,3
03/2017,36081122702,2
07/2017,36061027700,2
06/2017,36061023502,2
04/2017,36081094202,3
09/2017,36047035500,1
05/2017,36061007200,4
12/2017,36047015500,1
07/2017,36005014300,1
03/2017,36005020601,3
12/2017,36005004200,2
12/2017,36005013100,2
11/2017,36061006400,1
03/2017,36047017500,1
08/2017,36061018100,2
10/2017,36061023000,2
10/2017,36047009400,2
11/2017,36047019900,2
05/2017,36047000100,2
12/2017,36047016600,1
11/2017,36081140901,1
09/2017,36061001501,2
07/2017,36061017300,2
04/2017,36005038100,1
02/2017,36081101700,1
11/2017,36061011800,1
02/2017,36047004300,1
06/2017,36005028700,3
12/2017,36061019400,4
06/2017,36047018000,1
09/2017,36005042100,1
06/2017,36061013700,1
03/2017,36061028100,1
08/2017,36005014900,3
10/2017,36047053900,1
01/2017,36047112400,1
08/2017,36061012600,3
02/2017,36047025901,1
11/2017,36047111800,3
04/2017,36061023900,1
08/2017,36047017900,1
07/2017,36047025901,1
07/2017,36061005800,1
03/2017,36061011900,2
09/2017,36047053800,2
09/2017,36047003900,1
12/2017,36005021602,1
10/2017,36005019500,1
08/2017,36005037300,1
02/2017,36005039300,2
09/2017,36061001502,1
07/2017,36005011502,2
11/2017,36047044300,2
12/2017,36047088000,1
02/2017,36081012500,3
01/2017,36047089000,2
08/2017,36081147100,1
11/2017,36047018501,1
12/2017,36061021703,1
12/2017,36005000200,2
09/2017,36047055100,1
08/2017,36081064600,3
02/2017,36061001600,1
01/2017,36061015700,2
08/2017,36047057000,2
08/2017,36047051400,1
07/2017,36061023502,1
03/2017,36005038302,3
12/2017,36005016100,3
12/2017,36047079000,2
12/2017,36061029300,2
02/2017,36047079200,1
08/2017,36061001002,5
03/2017,36005027900,4
07/2017,36047037700,2
11/2017,36005021601,1
08/2017,36005041300,2
01/2017,36047039100,1
04/2017,36047032800,4
09/2017,36005006900,1
02/2017,36081088901,1
10/2017,36005031400,2
10/2017,36081025302,1
01/2017,36047023400,1
10/2017,36047036300,1
11/2017,36081104700,1
04/2017,36047050801,1
09/2017,36047015100,1
06/2017,36081066400,1
03/2017,36047049200,1
02/2017,36061018100,2
02/2017,36005042500,2
02/2017,36005035800,1
09/2017,36047051100,2
10/2017,36005017701,4
01/2017,36061005800,1
10/2017,36047041500,1
10/2017,36047043100,2
09/2017,36047043100,2
04/2017,36081143500,2
04/2017,36047021900,1
06/2017,36005017100,1
02/2017,36061019100,2
05/2017,36047072800,1
05/2017,36005002300,2
06/2017,36061017401,4
06/2017,36081050000,1
04/2017,36005022404,2
04/2017,36047029600,2
05/2017,36047009400,1
12/2017,36047107000,2
02/2017,36047051100,3
12/2017,36005022902,1
03/2017,36047049100,3
04/2017,36005000200,1
02/2017,36005038302,1
01/2017,36081103900,1
08/2017,36081146300,2
10/2017,36061021600,2
09/2017,36047035900,1
06/2017,36061004700,1
11/2017,36061025700,4
10/2017,36047011600,1
04/2017,36061022301,2
05/2017,36005023600,1
01/2017,36005042600,3
04/2017,36047058800,1
05/2017,36005012701,1
03/2017,36005014500,3
05/2017,36047050600,1
07/2017,36047008500,4
06/2017,36061013900,3
05/2017,36047051900,1
06/2017,36081073700,1
07/2017,36047036100,1
03/2017,36081058700,1
08/2017,36081059300,1
12/2017,36005019700,1
05/2017,36005037200,1
08/2017,36047054700,3
08/2017,36005006700,2
05/2017,36085008100,4
12/2017,36005037800,1
04/2017,36047037900,2
08/2017,36081124100,1
02/2017,36005012701,2
08/2017,36047048600,3
01/2017,36061009900,1
02/2017,36081027500,1
11/2017,36061005200,2
07/2017,36061023300,1
07/2017,36005037900,2
07/2017,36081000100,2
06/2017,36081025800,1
02/2017,36005009200,2
04/2017,36005003800,1
02/2017,36047088000,1
04/2017,36047111600,1
12/2017,36085011401,1
08/2017,36061015801,2
03/2017,36005041900,1
01/2017,36005021900,2
10/2017,36005002800,2
10/2017,36047007500,1
09/2017,36081085300,1
08/2017,36085020803,2
06/2017,36047056000,1
04/2017,36047041100,2
07/2017,36047022100,1
01/2017,36047042500,2
07/2017,36061018200,3
08/2017,36005030900,2
08/2017,36047120800,2
08/2017,36081007900,1
04/2017,36047072600,1
04/2017,36047015900,1
01/2017,36061027900,2
08/2017,36061009300,2
11/2017,36047028300,4
01/2017,36081133300,3
11/2017,36061026500,3
11/2017,36081014300,2
08/2017,36047042800,1
11/2017,36061015100,2
01/2017,36005020601,1
10/2017,36081002500,6
04/2017,36005037900,3
04/2017,36061013900,3
03/2017,36047013900,1
01/2017,36061019800,1
04/2017,36081047300,1
09/2017,36061004100,3
07/2017,36061019900,1
04/2017,36081126500,1
03/2017,36061001501,2
05/2017,36081097202,1
02/2017,36047040600,1
12/2017,36081006501,3
06/2017,36081055300,1
04/2017,36061026100,3
06/2017,36005002800,2
06/2017,36005027900,2
12/2017,36047034500,3
07/2017,36061029700,1
08/2017,36047111600,1
10/2017,36047037300,1
09/2017,36081003300,1
07/2017,36005022101,1
09/2017,36005042600,1
02/2017,36047006800,3
04/2017,36047036900,1
04/2017,36061015900,1
02/2017,36047052500,5
09/2017,36047039300,1
04/2017,36061016300,2
03/2017,36005022703,1
02/2017,36047030700,2
02/2017,36061019500,2
01/2017,36047048000,1
03/2017,36061016800,2
02/2017,36047077000,2
09/2017,36061009100,1
05/2017,36061003900,1
08/2017,36061025700,2
07/2017,36047119400,1
11/2017,36047000700,2
02/2017,36047089000,1
07/2017,36081026700,1
02/2017,36047080000,2
10/2017,36047013400,1
09/2017,36005003800,1
08/2017,36047116400,1
10/2017,36085001100,1
03/2017,36047115000,2
06/2017,36005025500,1
04/2017,36047061200,1
02/2017,36005026900,1
03/2017,36081117500,1
02/2017,36081137700,3
03/2017,36047036600,1
09/2017,36061008300,3
06/2017,36081109300,1
10/2017,36005038700,2
10/2017,36005029700,3
11/2017,36085002900,2
01/2017,36005028100,2
01/2017,36005006900,5
09/2017,36081138501,1
05/2017,36047111000,2
04/2017,36081118100,1
07/2017,36081071304,1
01/2017,36047091000,3
01/2017,36047026600,1
09/2017,36005016500,1
05/2017,36061010800,2
05/2017,36005017100,1
10/2017,36047051400,3
01/2017,36081046000,1
08/2017,36047056600,1
01/2017,36081008500,1
07/2017,36047033300,2
03/2017,36081109300,1
09/2017,36005015300,2
06/2017,36005006700,3
01/2017,36005038100,1
01/2017,36005023000,1
08/2017,36005048400,1
02/2017,36047110600,2
06/2017,36047075400,1
11/2017,36047032900,2
11/2017,36081073700,1
09/2017,36081099704,1
05/2017,36061003200,2
11/2017,36047003400,1
02/2017,36005006200,3
08/2017,36061019000,4
11/2017,36061002100,1
02/2017,36005023000,1
10/2017,36085024800,1
07/2017,36005008500,2
11/2017,36061000202,2
11/2017,36047036900,2
06/2017,36005015100,2
07/2017,36047074400,1
08/2017,36081027100,1
03/2017,36085018901,1
11/2017,36061003700,1
03/2017,36061006300,1
09/2017,36081032000,2
01/2017,36081150702,1
09/2017,36081039800,1
02/2017,36005023100,1
09/2017,36061018100,3
09/2017,36047116400,1
05/2017,36047091200,2
07/2017,36005005400,1
08/2017,36081028100,1
01/2017,36047088000,2
04/2017,36047088400,1
10/2017,36005041500,2
06/2017,36081036100,1
09/2017,36081140901,2
05/2017,36005037300,1
12/2017,36085014606,2
05/2017,36061000800,2
02/2017,36061019600,2
10/2017,36005009600,1
11/2017,36047013700,1
06/2017,36081027700,3
07/2017,36061022400,2
07/2017,36061025700,1
09/2017,36081026700,2
03/2017,36061008700,3
10/2017,36005009000,4
03/2017,36047007100,1
02/2017,36081000700,1
06/2017,36081099703,1
06/2017,36061011100,1
09/2017,36047115200,1
09/2017,36085027702,1
02/2017,36005029600,1
05/2017,36047002300,1
10/2017,36081162100,2
12/2017,36081112300,1
02/2017,36047118201,1
06/2017,36047088600,2
12/2017,36005030000,2
12/2017,36081006300,2
12/2017,36085002900,2
01/2017,36047088400,1
10/2017,36047074200,1
10/2017,36061022200,1
10/2017,36061013900,3
12/2017,36047021700,1
12/2017,36081011100,2
05/2017,36047090600,1
08/2017,36005039100,2
10/2017,36061022600,2
03/2017,36081000100,1
09/2017,36005016700,1
05/2017,36047026300,2
10/2017,36047087200,1
09/2017,36061029100,1
04/2017,36061003001,4
08/2017,36047051602,1
08/2017,36081007500,1
05/2017,36047096600,1
09/2017,36081056500,1
02/2017,36005024501,1
04/2017,36081006300,5
08/2017,36047115000,2
09/2017,36061000700,1
05/2017,36005035600,1
12/2017,36005005902,7
06/2017,36005030701,1
07/2017,36047000700,1
01/2017,36081003300,2
01/2017,36061006100,2
03/2017,36047020000,1
04/2017,36047024900,1
11/2017,36085024800,1
11/2017,36047026500,2
12/2017,36047026800,1
10/2017,36081007100,2
05/2017,36047112600,2
10/2017,36081006100,1
05/2017,36047015500,4
06/2017,36047072200,1
07/2017,36061013000,1
06/2017,36047053800,1
11/2017,36061001002,2
02/2017,36047039700,1
05/2017,36047013900,2
09/2017,36081046200,1
12/2017,36061008300,1
01/2017,36047017900,1
03/2017,36047079200,1
03/2017,36081039400,1
10/2017,36081055500,1
02/2017,36085031902,1
11/2017,36047040500,1
04/2017,36005005002,1
09/2017,36047035700,1
08/2017,36081006900,1
07/2017,36005040701,1
11/2017,36005031400,1
07/2017,36081134700,1
05/2017,36061028500,2
11/2017,36047058200,1
04/2017,36005043000,1
11/2017,36047033000,1
02/2017,36061000202,2
11/2017,36081129102,1
12/2017,36061008200,1
10/2017,36081044602,1
07/2017,36047008200,1
05/2017,36081027800,2
07/2017,36081146300,1
01/2017,36047042900,2
11/2017,36047025901,1
08/2017,36047027500,1
09/2017,36061021400,3
11/2017,36005020000,2
02/2017,36047111600,1
07/2017,36047088600,2
06/2017,36061015200,4
08/2017,36081025301,1
06/2017,36081012301,1
03/2017,36047051400,1
01/2017,36047013400,1
07/2017,36081018300,3
10/2017,36047052300,2
03/2017,36047113000,1
10/2017,36081098700,1
12/2017,36005006000,2
09/2017,36061013700,3
04/2017,36081027700,1
11/2017,36081120100,1
11/2017,36005003300,1
10/2017,36047082400,2
02/2017,36061002900,1
05/2017,36061005400,2
02/2017,36081099704,1
08/2017,36085013800,1
12/2017,36047034900,1
10/2017,36047001800,1
11/2017,36047002901,3
12/2017,36081081400,1
03/2017,36047019900,2
01/2017,36085013800,2
09/2017,36005002800,2
02/2017,36047089400,1
04/2017,36005028700,1
02/2017,36085002900,2
07/2017,36047043300,3
02/2017,36061014802,1
10/2017,36047044300,2
04/2017,36047038700,2
12/2017,36081097202,1
04/2017,36005008400,1
08/2017,36005036300,3
06/2017,36061013600,4
08/2017,36047051601,1
02/2017,36005030900,1
09/2017,36005034800,2
01/2017,36047012901,1
05/2017,36005029301,1
03/2017,36005008700,3
06/2017,36047054500,3
10/2017,36061027900,4
02/2017,36081004300,2
11/2017,36047123700,2
10/2017,36005038302,2
01/2017,36047027900,1
01/2017,36081117500,1
04/2017,36047035500,2
11/2017,36005018102,1
03/2017,36005042902,2
07/2017,36047003000,1
12/2017,36047096600,1
03/2017,36005037200,2
02/2017,36005020601,2
09/2017,36047047700,3
03/2017,36047068600,1
02/2017,36081103202,2
03/2017,36047008200,1
10/2017,36005032300,2
01/2017,36081077906,2
12/2017,36005022300,1
08/2017,36061007300,2
05/2017,36047038200,3
05/2017,36061001600,1
06/2017,36005022404,2
01/2017,36005018500,2
07/2017,36061014602,1
03/2017,36005037400,1
01/2017,36047043100,2
06/2017,36047123700,3
11/2017,36047049300,5
06/2017,36047027700,1
08/2017,36061015100,4
04/2017,36081011500,2
10/2017,36047013000,1
10/2017,36047012200,2
10/2017,36061022700,2
09/2017,36047060800,1
11/2017,36047052300,2
12/2017,36005024000,3
04/2017,36047002100,2
08/2017,36047032800,1
05/2017,36061005501,1
03/2017,36081027600,1
09/2017,36005036400,2
07/2017,36005020501,7
12/2017,36081101700,2
01/2017,36005019700,1
01/2017,36047086600,2
04/2017,36061003400,2
12/2017,36047017700,2
02/2017,36005012500,3
09/2017,36085020700,2
02/2017,36005008300,1
09/2017,36005018500,2
04/2017,36061021703,1
09/2017,36081038100,2
02/2017,36005026300,3
03/2017,36085027704,1
07/2017,36081093800,2
01/2017,36085017010,3
06/2017,36047046000,1
02/2017,36061021400,3
06/2017,36081046000,1
03/2017,36047023400,2
10/2017,36005039100,4
03/2017,36085020700,1
09/2017,34017007600,2
08/2017,36047109800,1
06/2017,36005025000,3
07/2017,36047054500,1
01/2017,36005021501,1
07/2017,36005028300,1
01/2017,36061025900,1
03/2017,36047024800,2
11/2017,36047005300,1
07/2017,36047091600,1
08/2017,36061031704,1
10/2017,36047055100,4
08/2017,36081073700,1
08/2017,36081077500,1
07/2017,36061027900,4
05/2017,36047028100,1
03/2017,36047026300,1
01/2017,36047121400,1
09/2017,36005006500,2
09/2017,36081096400,3
05/2017,36061015200,1
02/2017,36047091200,1
01/2017,36061006600,2
04/2017,36061000700,1
06/2017,36081122701,1
03/2017,36061029900,1
07/2017,36005002800,1
09/2017,36081033402,1
10/2017,36047019900,1
06/2017,36005027300,2
02/2017,36005030000,1
10/2017,36047026100,1
11/2017,36047090200,1
04/2017,36005005200,1
10/2017,36047040100,1
01/2017,36047098200,2
09/2017,36061002800,3
01/2017,36047019300,2
07/2017,36081026000,1
03/2017,36047102200,2
11/2017,36047023500,1
11/2017,36005036902,1
12/2017,36047121000,2
11/2017,36061007800,1
05/2017,36061013800,2
08/2017,36081084000,1
09/2017,36081009700,1
01/2017,36081040700,1
05/2017,36005003800,1
05/2017,36005021302,1
05/2017,36061029700,2
08/2017,36047024300,1
10/2017,36005012300,2
09/2017,36081007100,1
11/2017,36005023302,1
05/2017,36081006202,3
11/2017,36061022900,2
12/2017,36061014700,1
10/2017,36081071304,1
04/2017,36005025300,1
04/2017,36081055200,2
01/2017,36047017700,3
02/2017,36061022102,1
08/2017,36047008000,1
04/2017,36005041400,2
02/2017,36061013700,3
04/2017,36061023300,1
02/2017,36005022403,2
05/2017,36081015500,1
05/2017,36047096400,1
05/2017,36005033000,1
04/2017,36005013100,1
12/2017,36081007900,2
03/2017,36047038100,3
08/2017,36047034500,3
07/2017,36047021500,1
01/2017,36005013300,4
10/2017,36085019800,2
07/2017,36047121400,2
08/2017,36081009500,1
03/2017,36061011100,3
03/2017,36047019300,1
12/2017,36047057200,1
03/2017,36005019300,3
12/2017,36047015200,1
08/2017,36081025800,1
12/2017,36005039901,2
11/2017,36005017701,1
02/2017,36061015100,1
05/2017,36085018100,1
04/2017,36005018900,1
10/2017,36061023501,1
03/2017,36081012301,1
07/2017,36061005200,2
09/2017,36047032800,2
06/2017,36061019600,3
12/2017,36085015100,1
08/2017,36047030200,1
03/2017,36081016300,2
09/2017,36047035300,2
04/2017,36081134100,1
01/2017,36047028700,2
05/2017,36047026400,1
05/2017,36081014300,1
10/2017,36061002500,2
11/2017,36047051002,1
12/2017,36005039100,1
05/2017,36081014100,1
05/2017,36005025300,1
03/2017,36047018100,1
08/2017,36047080400,1
08/2017,36005015100,2
04/2017,36047024600,2
07/2017,36061008900,2
10/2017,36005006500,1
02/2017,36047107000,1
04/2017,36005023600,2
04/2017,36047031100,1
11/2017,36047042600,1
06/2017,36081120500,1
01/2017,36047061004,1
12/2017,36005007300,1
09/2017,36005002701,1
11/2017,36081032000,1
05/2017,36081013000,1
01/2017,36005042500,3
07/2017,36081070900,1
05/2017,36047011900,1
10/2017,36005022500,2
10/2017,36047073600,1
06/2017,36047038800,2
05/2017,36047030300,1
11/2017,36047056100,1
03/2017,36005041300,2
11/2017,36061010300,1
05/2017,36047020600,1
11/2017,36005039200,1
03/2017,36047051200,1
12/2017,36047081800,1
09/2017,36047029300,2
10/2017,36047039900,2
09/2017,36081059600,1
06/2017,36061014000,3
07/2017,36061012900,3
07/2017,36061021000,4
10/2017,36081025301,3
12/2017,36085017009,2
07/2017,36005016300,2
01/2017,36061006200,1
01/2017,36047006900,2
11/2017,36085004000,5
02/2017,36005042800,1
06/2017,36061021200,2
12/2017,36085020801,1
03/2017,36047013700,1
06/2017,36061012800,1
02/2017,36047050804,2
01/2017,36061003602,2
10/2017,25017341300,1
04/2017,36047022700,1
09/2017,36005024700,2
05/2017,36081103202,1
10/2017,36047079802,3
03/2017,36047032600,2
08/2017,36047098200,4
01/2017,36085002900,2
11/2017,36061019800,1
09/2017,36047013300,1
07/2017,36005043500,2
05/2017,36005002400,1
08/2017,36047005400,1
12/2017,36061021500,3
10/2017,36081017900,1
10/2017,36005023000,1
07/2017,36081032700,2
06/2017,36061003100,1
10/2017,36061021500,2
04/2017,36081146300,2
06/2017,36047119400,1
07/2017,36005012901,1
05/2017,36005046202,2
02/2017,36081085900,1
04/2017,36085015601,1
01/2017,36047011900,1
12/2017,36047043600,2
08/2017,36005023704,1
02/2017,36081016900,2
08/2017,36047110600,1
02/2017,36047094401,3
12/2017,36061008601,1
12/2017,36047038500,1
10/2017,36061026100,2
05/2017,36047050803,1
01/2017,36047029100,1
10/2017,36081045500,1
08/2017,36061020102,1
05/2017,36047098800,1
10/2017,36085017012,1
07/2017,36081049500,1
02/2017,36047112000,1
09/2017,36005038200,2
03/2017,36005022901,1
01/2017,36081055500,1
09/2017,36081079701,1
09/2017,36005040501,4
10/2017,36081000100,1
01/2017,36047007400,2
07/2017,36047017700,1
12/2017,36047016200,1
11/2017,36081146700,1
10/2017,36005013200,1
04/2017,36005017500,2
01/2017,36005009000,1
02/2017,36081028900,1
05/2017,36061002602,3
03/2017,36047122000,2
10/2017,36047016700,1
05/2017,36061020701,1
02/2017,36061008900,2
02/2017,36061013900,3
02/2017,36061020600,1
07/2017,36005038100,1
01/2017,36005040501,1
04/2017,36081026000,1
06/2017,36005009000,3
10/2017,36005037400,2
09/2017,36061007200,3
02/2017,36005025100,1
04/2017,36061012100,1
03/2017,36081097204,1
03/2017,36081027000,1
08/2017,36047030700,5
12/2017,36005037200,3
02/2017,36061028300,1
12/2017,36081003700,1
07/2017,36005042100,2
01/2017,36005023502,3
12/2017,36081012301,2
03/2017,36005007200,1
11/2017,36047107000,3
01/2017,36061021000,2
10/2017,36005023200,2
02/2017,36061004700,2
01/2017,36047073400,3
06/2017,36061009600,1
05/2017,36081058300,2
11/2017,36005017500,2
07/2017,36061013700,2
03/2017,36005007900,5
02/2017,36005044400,1
03/2017,36047052700,1
09/2017,36005009800,2
02/2017,36005023301,2
01/2017,36005008400,1
08/2017,36061013100,2
12/2017,36061030900,5
04/2017,36047012700,2
02/2017,36005013800,1
02/2017,36061014601,2
01/2017,36047090000,2
07/2017,36005020000,1
08/2017,36085013204,1
