Time,Geoid,NumberOfReports
11/2017,36081025301,5
06/2017,36061013100,2
09/2017,36081124700,109
01/2017,36047059402,3
12/2017,36085020803,2
09/2017,36047021500,1
12/2017,36081008700,5
02/2017,36061002800,6
10/2017,36005022401,1
01/2017,36047110600,2
09/2017,36047113000,1
02/2017,36081081800,1
06/2017,36005004300,5
09/2017,36047002901,4
08/2017,36061022500,3
01/2017,36061030300,2
04/2017,36047044500,1
08/2017,36005046201,14
12/2017,36005014300,1
06/2017,36081012500,2
09/2017,36061014500,2
08/2017,36047118800,1
12/2017,36005033600,3
11/2017,36047032800,3
10/2017,36061008100,6
11/2017,36005007900,5
04/2017,36081138501,1
02/2017,36085027900,61
09/2017,36005001900,3
10/2017,36061014500,5
10/2017,36081007900,2
07/2017,36061013800,3
05/2017,36047109800,1
03/2017,36061012900,6
12/2017,36061027300,5
10/2017,36081025800,1
05/2017,36005002701,2
11/2017,36005006900,2
12/2017,36085006700,2
09/2017,36061000202,4
04/2017,36081018300,5
04/2017,36047121400,3
06/2017,34017007600,1
05/2017,36005034800,4
07/2017,36085027705,2
05/2017,36081103201,2
06/2017,36047036600,4
04/2017,36061018900,5
12/2017,36047049800,1
11/2017,36047043100,6
01/2017,36061021800,2
07/2017,36047029600,2
06/2017,36047111800,4
07/2017,36061013100,3
04/2017,36047050803,3
10/2017,36061006600,8
01/2017,36047101400,3
12/2017,36047118400,1
04/2017,36061013400,4
04/2017,36047053100,1
07/2017,36061013600,3
05/2017,36081025900,1
12/2017,36005019300,3
01/2017,36061024500,9
07/2017,36047005300,7
10/2017,36061003300,1
02/2017,36085006400,5
02/2017,36005022500,1
07/2017,36061014402,5
10/2017,36005029302,1
09/2017,36061007400,4
03/2017,36081099704,2
08/2017,36005003900,7
03/2017,36005004300,5
04/2017,36081059100,1
05/2017,36005021002,2
07/2017,36061020600,4
06/2017,36061008700,2
12/2017,36005023800,56
05/2017,36081012301,4
09/2017,36085007700,1
03/2017,36005021100,1
04/2017,36061016200,9
08/2017,36061006400,3
05/2017,36005016100,3
01/2017,36061018900,5
02/2017,36047031300,99
09/2017,36005019300,2
05/2017,36005017702,1
04/2017,36005046201,14
02/2017,36061009800,3
05/2017,36047026700,3
09/2017,36047025700,3
12/2017,36005022901,2
02/2017,36047049500,1
08/2017,36005014400,8
12/2017,36047054900,1
04/2017,36061023400,2
06/2017,36061001501,2
08/2017,36085002900,2
02/2017,36061023400,7
11/2017,36081092900,2
01/2017,36047082000,3
01/2017,36061016002,2
08/2017,36005022702,1
02/2017,36005014500,4
09/2017,36061004000,6
05/2017,36081092500,2
09/2017,36047082200,3
01/2017,36047120800,7
11/2017,36061004000,5
03/2017,36081124700,149
11/2017,36005040701,2
12/2017,36005038000,1
02/2017,36005041900,2
09/2017,36061017200,8
01/2017,36047040900,2
07/2017,36061016900,42
04/2017,36047049300,3
10/2017,36047048100,1
03/2017,36061012000,1
12/2017,36085027900,56
04/2017,36005045800,3
04/2017,36081097202,2
09/2017,36005017701,4
09/2017,36061016900,47
03/2017,36061017300,2
01/2017,36005005100,7
05/2017,36081124700,148
03/2017,36005023800,37
01/2017,36081025800,2
01/2017,36005023800,45
05/2017,36081113300,5
12/2017,36047023400,3
01/2017,36005012901,4
03/2017,36061000600,5
01/2017,36047038100,2
12/2017,36005036300,3
08/2017,36081069000,2
