Date,Hour,CensusTract,NumberOfReports
12/26/2018,17,9.0,1
12/26/2018,17,304.0,1
12/26/2018,16,69.0,1
12/26/2018,16,493.02,1
12/26/2018,16,106.01,1
12/26/2018,16,133.0,1
12/26/2018,15,50.01,1
12/26/2018,15,2.0,1
12/31/2018,23,146.06,1
12/31/2018,22,537.0,1
12/31/2018,22,4.0,1
12/31/2018,21,1033.0,1
12/31/2018,21,240.0,1
12/31/2018,21,277.0,1
12/31/2018,20,493.02,1
12/31/2018,20,666.0,1
12/31/2018,20,291.0,1
12/31/2018,18,296.0,1
12/31/2018,18,28.0,1
12/31/2018,18,25.0,1
12/31/2018,18,1152.0,1
12/31/2018,17,129.02,1
12/31/2018,17,69.0,1
12/31/2018,17,193.0,1
12/31/2018,17,157.0,1
12/31/2018,16,2.02,1
12/31/2018,16,172.0,1
12/31/2018,16,371.0,1
12/31/2018,16,77.0,1
12/31/2018,15,129.01,1
12/26/2018,15,251.0,1
12/26/2018,14,239.0,1
12/26/2018,14,555.0,1
12/26/2018,14,822.0,1
12/26/2018,14,213.0,1
12/26/2018,13,766.0,1
12/26/2018,13,233.01,1
12/26/2018,12,152.0,1
12/26/2018,11,273.01,1
12/26/2018,11,415.0,1
12/26/2018,10,1134.0,1
12/26/2018,09,79.0,1
12/26/2018,08,303.0,1
12/26/2018,07,762.0,1
12/26/2018,07,257.0,1
12/26/2018,07,25.0,1
12/26/2018,06,25.0,1
12/25/2018,19,117.0,1
12/25/2018,19,429.0,1
12/25/2018,19,37.0,1
12/25/2018,18,1010.04,1
12/25/2018,18,365.02,1
12/25/2018,17,32.0,1
12/25/2018,17,259.0,1
12/25/2018,16,406.0,1
12/25/2018,16,172.0,1
12/25/2018,15,678.0,1
12/25/2018,15,228.01,1
12/25/2018,14,381.0,1
12/25/2018,14,756.0,1
12/25/2018,13,154.0,1
12/25/2018,13,336.0,1
12/25/2018,13,213.0,1
12/25/2018,13,156.01,1
12/25/2018,12,43.0,1
12/25/2018,11,285.0,1
12/25/2018,11,375.04,1
12/25/2018,10,910.0,1
12/25/2018,10,218.0,1
12/25/2018,08,327.0,1
12/25/2018,07,331.0,1
12/25/2018,07,535.0,1
12/25/2018,06,210.0,1
12/25/2018,06,378.0,1
12/25/2018,05,39.0,1
12/25/2018,03,90.0,1
12/25/2018,01,233.01,1
12/25/2018,00,41.0,1
12/25/2018,00,462.07,1
12/24/2018,23,195.0,1
12/24/2018,23,445.0,1
12/24/2018,22,210.01,1
12/24/2018,22,724.0,1
12/24/2018,21,1471.0,1
12/24/2018,21,846.0,1
12/24/2018,21,224.03,1
12/24/2018,21,128.06,1
12/24/2018,21,1118.0,1
12/24/2018,20,53.02,1
12/24/2018,19,435.0,1
12/24/2018,19,390.0,1
12/24/2018,19,23.0,1
12/24/2018,19,164.0,1
12/24/2018,18,205.01,1
12/24/2018,18,519.0,1
12/24/2018,17,954.0,1
12/24/2018,16,51.0,1
